key,name,library,description,keywords,footprint,step_model,datasheet,datasheet_file,vendor,order_code,obsolete,tags
klib_analogue:LT3042EDD#PBF,LT3042EDD#PBF,klib_analogue,,,klib_analogue:LT3042EDD#PBF,DFN-10-1EP_3x3mm_P0.5mm_EP1.7x2.5mm.wrl,,,,,,
klib_analogue:NCP51200MNTXG,NCP51200MNTXG,klib_analogue,,,klib_analogue:NCP51200MNTXG,,,,,,,
klib_analogue:TPS16412DRCR,TPS16412DRCR,klib_analogue,,,klib_analogue:TPS16412DRCR,,,,,,,
klib_analogue:TPS26600RHFR,TPS26600RHFR,klib_analogue,,,klib_analogue:TPS26600RHFR,,,,,,,
klib_connectors:ASP-134606-01,ASP-134606-01,klib_connectors,,,klib_connectors:SAMTEC_ASP-134606-01,ASP-134606-01.stp,,,,,,
klib_connectors:FTMH-117-03-F-DH,FTMH-117-03-F-DH,klib_connectors,,,klib_connectors:SAMTEC_FTMH-117-03-F-DH,FTMH-117-03-F-DH.stp,,,,,,
klib_connectors:HC-PBB40C-100DP-0.4V-02,HC-PBB40C-100DP-0.4V-02,klib_connectors,,,klib_connectors:HC-PBB40C-100DP-0.4V-02,CONN-SMD_100P-P0.40_HC-PBB40C-100DP-0.4V-02.wrl,,,,,,
klib_connectors:LSEM-120-03.0-L-DV-A-N-K-TR_DOUBLE,LSEM-120-03.0-L-DV-A-N-K-TR_DOUBLE,klib_connectors,,,klib_connectors:LSEM-120-03.0-L-DV-A-N-K-TR_DOUBLE,LSEM-120-03.0-L-DV-A-N-K-TR_DOUBLE_1_6MM.stp,,,,,,
klib_connectors:PTSM_1814650,PTSM_1814650,klib_connectors,Phoenix Contact,,klib_connectors:PTSM_1814650,,,,,,,
klib_connectors:TC2030-IDC-NL-FP_JTAG_VER,TC2030-IDC-NL-FP_JTAG_VER,klib_connectors,,,klib_connectors:TC2030-IDC-NL-FP,,,,,,,
klib_connectors:U.FL-R-SMT-1(80),U.FL-R-SMT-1(80),klib_connectors,,,klib_connectors:U.FL-R-SMT-1(80),U.FL_Hirose_U.FL-R-SMT-1_Vertical.wrl,,,,,,
klib_discrete:74930000,74930000,klib_discrete,,,klib_discrete:74930000,,,,,,,
klib_discrete:SP3010-04UTG,SP3010-04UTG,klib_discrete,,,klib_discrete:SP3010-04UTG,,,,,,,
klib_discrete:SP3420-04UTG,SP3420-04UTG,klib_discrete,,,klib_discrete:SP3420-04UTG,,,,,,,
klib_logic:AD5693RACPZ-RL7,AD5693RACPZ-RL7,klib_logic,,,klib_logic:AD5693RACPZ-RL7,,,,,,,
klib_logic:ADIN1110CCPZ,ADIN1110CCPZ,klib_logic,,,klib_logic:ADIN1110CCPZ,ADIN1110CCPZ.stp,,,,,,
klib_logic:ADIN2111BCPZ,ADIN2111BCPZ,klib_logic,,,klib_logic:ADIN2111BCPZ,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm.wrl,,,,,,
klib_logic:ADP5014ACPZ-R7,ADP5014ACPZ-R7,klib_logic,,,klib_logic:ADP5014ACPZ-R7,,,,,,,
klib_logic:ADPL76030EUFD#TRPBF,ADPL76030EUFD#TRPBF,klib_logic,,,klib_logic:ADPL76030EUFD#TRPBF,QFN-28-1EP_4x5mm_P0.5mm_EP2.65x3.65mm.wrl,,,,,,
klib_logic:ADS1115IRUGT,ADS1115IRUGT,klib_logic,,,klib_logic:ADS1115IRUGT,,,,,,,
klib_logic:DP83TD510ERHBR,DP83TD510ERHBR,klib_logic,,,klib_logic:DP83TD510ERHBR,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm.wrl,,,,,,
klib_logic:LT3571IUD#TRPBF,LT3571IUD#TRPBF,klib_logic,,,klib_logic:LT3571IUD#TRPBF,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm.wrl,,,,,,
klib_logic:LT8645SEV-2#PBF,LT8645SEV-2#PBF,klib_logic,,,klib_logic:LT8645SEV-2#PBF,,,,,,,
klib_logic:LTC4331IUFD#PBF,LTC4331IUFD#PBF,klib_logic,,,klib_logic:LTC4331IUFD#PBF,QFN-20-1EP_4x5mm_P0.5mm_EP2.65x3.65mm.wrl,,,,,,
klib_logic:MAX15062AATA+,MAX15062AATA+,klib_logic,,,klib_logic:MAX15062AATA+,,,,,,,
klib_logic:MAX17645BATA+,MAX17645BATA+,klib_logic,,,klib_logic:MAX17645BATA+,,,,,,,
klib_logic:MAX20029ATIA/V+,MAX20029ATIA/V+,klib_logic,,,klib_logic:MAX20029ATIAV+,TQFN-28-1EP_5x5mm_P0.5mm_EP2.7x2.7mm.wrl,,,,,,
klib_logic:MAX6627MKA+T,MAX6627MKA+T,klib_logic,,,klib_logic:MAX6627MKA+T,,,,,,,
klib_logic:MXL86211C-AQB-T,MXL86211C-AQB-T,klib_logic,,,,,,,,,,
klib_logic:SI5338K-B-GM,SI5338K-B-GM,klib_logic,,,klib_logic:SI5338K-B-GM,QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm.wrl,,,,,,
klib_logic:SN74AXC4T774PWR,SN74AXC4T774PWR,klib_logic,,,klib_logic:SN74AXC4T774PWR,TSSOP-16_4.4x5mm_P0.65mm.wrl,,,,,,
klib_logic:SN74LVC1G04DRYR,SN74LVC1G04DRYR,klib_logic,,,klib_logic:SN74LVC1G04DRYR,USON-6_1x1.45mm_P0.5mm.wrl,,,,,,
klib_logic:SN74LVC1G17DRYR,SN74LVC1G17DRYR,klib_logic,,,klib_logic:SN74LVC1G17DRYR,USON-6_1x1.45mm_P0.5mm.wrl,,,,,,
klib_logic:TPS65400RGZR,TPS65400RGZR,klib_logic,,,,,,,,,,
klib_memory:IS25LP256D-JLLE,IS25LP256D-JLLE,klib_memory,,,klib_memory:IS25LP256D-JLLE,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm.wrl,,,,,,
klib_memory:MT41K64M16TW-107{colon}J,MT41K64M16TW-107{colon}J,klib_memory,,,klib_memory:MT41K64M16TW-107J,Micron_FBGA-96_8x14mm_Layout9x16_P0.8mm.wrl,,,,,,
klib_pld:XC7A35T-CSG324,XC7A35T-CSG324,klib_pld,Artix 7 T 35 XC7A35T-CSG324,FPGA,klib_pld:XC7A35T-CSG324,Xilinx_CSG324.wrl,,,,,,
klib_special:ABM10AIG-25.000MHZ-4Z-T3,ABM10AIG-25.000MHZ-4Z-T3,klib_special,,,klib_special:ABM10AIG-25.000MHZ-4Z-T3,,,,,,,
klib_special:ECS-2520MVQ-1000-CN-TR,ECS-2520MVQ-1000-CN-TR,klib_special,,,klib_special:ECS-2520MVQ-1000-CN-TR,,,,,,,
klib_special:SHT31A-DIS-B2.5kS,SHT31A-DIS-B2.5kS,klib_special,,,klib_special:SHT31A-DIS-B2.5kS,DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm.wrl,,,,,,
klib_special:TRIROC_1A,TRIROC_1A,klib_special,,,klib_special:TFBGA_353_T1A,,,,,,,
klib_special:XLL726200.000000I,XLL726200.000000I,klib_special,,,klib_special:XLL726200.000000I,,,,,,,
klib_special:xidyn_test_board_blocks,xidyn_test_board_blocks,klib_special,,,,,,,,,,
